company,jobtitle,applicationdate,status,location,anstellungsart
G Data,Softwareentwickler (m/w/d) - C# .NET & React,2026-05-07,Rejected,"Bochum, Germany",Festanstellung
comma soft,Initiativ­bewerbung,2026-05-07,Rejected,"Bonn, Germany",Festanstellung
Atruvia,Fullstack Developer ,2026-05-07,Rejected,"Karlsruhe, Germany",Festanstellung
Edgeless systems,Initiativ­bewerbung,2026-05-12,Rejected,"Bochum, Germany",Festanstellung
Accenture Germany,Junior Java Entwickler,2026-05-14,Rejected,"Kronberg im Taunus, Germany",Festanstellung
sciencentric® AG,Junior Fullstack Developer,2026-05-14,Applied,"Düsseldorf, Germany",Festanstellung
Scopevisio AG,AI Software Engineer,2026-05-27,Rejected,"Bonn, Germany",Festanstellung
cyber:con,Backend-Entwickler,2026-05-27,Applied,"Bonn, Germany",Festanstellung
mgm technology partners,Fullstack Developer ,2026-05-27,Applied,"Munich, Germany",Festanstellung
Universitätsklinikum Düsseldorf,Fachinformatiker,2026-05-27,Applied,"Düsseldorf, Germany",Festanstellung
Landesamt für Besoldung und Versorgung NRW,Fachinformatiker,2026-05-27,Applied,"Düsseldorf, Germany",Festanstellung
rhenag Rheinische Energie AG,Backend-Entwickler,2026-05-27,Applied,"Cologne, Germany",Festanstellung
BABLE Smart Cities Iberia,Back-end Python Web Developer,2026-05-27,Applied,"Barcelona, Spain",Festanstellung
Thomson Reuters,Software-Entwickler,2026-05-28,Applied,"Frankfurt, Germany",Festanstellung
Lüddemann Investments GmbH,Anwendungsentwickler,2026-05-28,Applied,"Verl, Germany",Festanstellung
Ergon Informatik AG,junior Software Engineer,2026-05-28,Rejected,"Zurich, Switzerland",Festanstellung
Rocken,softwareentwickler junior,2026-05-28,Rejected,"Zurich, Switzerland",Festanstellung
AXA,software engineer python,2026-05-28,Rejected,"Cologne, Germany",Festanstellung
google,"Software Engineer III, Full Stack, Shopping on Gemini - Zurich",2026-05-28,Applied,"Zurich, Switzerland",Festanstellung
Intersolute GmbH,softwareentwickler junior,2026-05-28,Applied,"Mönchengladbach, Germany",Festanstellung
Market control,Intern Junior Programmer,2026-05-29,Applied,"Barcelona, Spain",Praktikum
morefire GmbH,Junior KI Entwickler ,2026-05-29,Rejected,"Cologne, Germany",Festanstellung
beON consult,Praktikum Softwareentwicklung & Operations,2026-05-29,Applied,"Kiel, Germany",Praktikum
lise GmbH,Junior Softwareentwickler*in,2026-05-29,Applied,"Cologne, Germany",Festanstellung
Industrial Analytics Lab GmbH,Junior Software Developer ,2026-05-29,Applied,"Wetter, Germany",Festanstellung
Wasi GmbH,KI-Entwickler / Prompt Engineer / Big Data ,2026-05-29,Applied,"Wuppertal, Germany",Festanstellung
RESORTI GmbH & Co. KG,KI & Automation Assistant (w/m/d) | Minijob,2026-05-29,Applied,"Coesfeld, Germany",Minijob
sync.blue® GmbH ,Python Developer – Django  ,2026-05-29,Rejected,"Haltern am See, Germany",Festanstellung
it-motive AG,Junior Softwareentwickler Backend,2026-05-29,Applied,"Duisburg, Germany",Festanstellung
KPMG,Fachinformatiker für Anwendungsentwicklung,2026-05-29,Applied,"Berlin, Germany",Festanstellung
INCONSULT GmbH,(Junior) Cloud Developer,2026-05-29,Applied,"Duisburg, Germany",Festanstellung
jobware,softwareentwickler,2026-06-01,Applied,"Paderborn, Germany",Festanstellung
Rheinmetall,softwareentwickler,2026-06-01,Applied,"Bremen, Germany",Festanstellung
1&1,Trainee AI,2026-06-01,Applied,"Montabaur, Germany",Trainee Programm
Spilberg IT,Fullstack Developer ,2026-06-02,Applied,"Düsseldorf, Germany",Festanstellung
HAEGER Holding GmbH,Webentwickler ,2026-06-02,Applied,"Düsseldorf, Germany",Festanstellung
humbee solutions GmbH,Entwickler C#,2026-06-02,Applied,"Meerbusch, Germany",Festanstellung
DMRZ,Backend Developer (m/w/d) – Healthcare SaaS,2026-06-02,Rejected,"Düsseldorf, Germany",Festanstellung
Deichmann,AI Engineer – Agentic AI,2026-06-02,Rejected,"Essen, Germany",Festanstellung
adesso SE,Agentic Low Code Developer,2026-06-02,Applied,"Dortmund, Germany",Festanstellung
Zurich Insurance,Agentic AI Solution Engineer,2026-06-02,Rejected,"Zürich, Switzerland",Festanstellung
api Computerhandels GmbH,KI-Automatisierungs- & Implementierungs-Spezialist / AI Automation Engineer,2026-06-02,Applied,"Baesweiler, Germany",Festanstellung
flaschenpost SE,Low-Code Developer ,2026-06-02,Applied,"Münster, Germany",Festanstellung
CHECK24 ,Junior) AI Engineer (m/w/d) Testautomatisierung,2026-06-03,Applied,"Munich, Germany",Festanstellung
cubikom GmbH,Softwareentwickler C# für CAD-Applikationen,2026-06-03,Applied,"Troisdorf, Germany",Festanstellung
epiNET ,Softwareentwickler,2026-06-03,Rejected,"Rottenburg am Neckar, Germany",Festanstellung
Rausgegangen ,FULLSTACK ODER BACKEND ENTWICKLER,2026-06-03,Applied,"Cologne, Germany",Festanstellung
TELiAS GmbH,Full-Stack Entwickler,2026-06-03,Rejected,"Cologne, Germany",Festanstellung
Finanz Informatik,Java Softwareentwickler,2026-06-03,Applied,"Frankfurt, Germany",Festanstellung
MERKUR GROUP,Junior Softwareentwickler C / C++,2026-06-03,Applied,"Espelkamp, Germany",Festanstellung
cyclos design GmbH,Junior Web-Entwickler,2026-06-03,Applied,"Münster, Germany",Festanstellung
